Hotel ID,Hotel Name,Review ID,Review Text,Rating,Date,Sentiment,Ghost Review,Business Status
H011,Hotel 11,R00064,Not worth the price.,1,16-08-2023,negative,TRUE,inactive
H050,Hotel 50,R00065,Not worth the price.,2,14-06-2023,negative,FALSE,active
H008,Hotel 8,R00066,Excellent service!,5,04-04-2023,positive,TRUE,inactive
H050,Hotel 50,R00067,It was okay.,3,12-02-2022,neutral,TRUE,inactive
H042,Hotel 42,R00068,Terrible service!,2,06-08-2022,negative,FALSE,active
H031,Hotel 31,R00069,Terrible service!,2,03-06-2022,negative,TRUE,inactive
H028,Hotel 28,R00070,It was okay.,3,12-01-2022,neutral,FALSE,inactive
H040,Hotel 40,R00071,Terrible service!,2,13-03-2022,negative,FALSE,active
H013,Hotel 13,R00072,Highly recommend this place.,4,17-09-2022,positive,TRUE,inactive
H021,Hotel 21,R00073,Highly recommend this place.,5,20-04-2022,positive,FALSE,active
H017,Hotel 17,R00074,Room was dirty.,1,02-02-2023,negative,FALSE,active
H021,Hotel 21,R00075,Not worth the price.,1,30-11-2022,negative,FALSE,active
H040,Hotel 40,R00076,Excellent service!,4,07-06-2022,positive,TRUE,inactive
H018,Hotel 18,R00077,Terrible service!,2,04-04-2023,negative,TRUE,inactive
H039,Hotel 39,R00078,Terrible service!,1,09-06-2022,negative,TRUE,active
H045,Hotel 45,R00079,Excellent service!,5,02-10-2022,positive,FALSE,inactive
H040,Hotel 40,R00080,Could be better.,3,27-03-2022,neutral,FALSE,active
H023,Hotel 23,R00081,Highly recommend this place.,4,01-01-2023,positive,TRUE,active
H018,Hotel 18,R00082,Very clean and comfortable.,4,26-02-2023,positive,TRUE,active
H008,Hotel 8,R00083,Terrible service!,1,09-06-2023,negative,FALSE,active
H003,Hotel 3,R00084,Room was dirty.,1,10-03-2022,negative,FALSE,inactive
H031,Hotel 31,R00085,Terrible service!,2,27-11-2023,negative,FALSE,inactive
H023,Hotel 23,R00086,Room was dirty.,2,30-01-2023,negative,FALSE,active
H015,Hotel 15,R00087,Excellent service!,4,01-07-2023,positive,TRUE,active
H050,Hotel 50,R00088,Highly recommend this place.,5,23-10-2022,positive,FALSE,active
H016,Hotel 16,R00089,Very clean and comfortable.,4,04-02-2022,positive,FALSE,active
H023,Hotel 23,R00090,Not worth the price.,2,08-08-2023,negative,FALSE,inactive
H028,Hotel 28,R00091,Very clean and comfortable.,4,15-06-2022,positive,TRUE,inactive
H020,Hotel 20,R00092,Excellent service!,4,26-06-2023,positive,FALSE,active
H031,Hotel 31,R00093,Terrible service!,1,15-04-2022,negative,FALSE,active
H039,Hotel 39,R00094,Terrible service!,2,12-01-2022,negative,TRUE,active
H021,Hotel 21,R00095,Not worth the price.,2,03-09-2023,negative,TRUE,active
H019,Hotel 19,R00096,Very clean and comfortable.,5,30-09-2023,positive,TRUE,active
H043,Hotel 43,R00097,Terrible service!,2,23-09-2022,negative,TRUE,active
H031,Hotel 31,R00098,Highly recommend this place.,5,05-04-2023,positive,TRUE,active
H005,Hotel 5,R00099,Could be better.,3,22-03-2022,neutral,TRUE,inactive
H010,Hotel 10,R00100,It was okay.,3,21-03-2023,neutral,TRUE,inactive
H021,Hotel 21,R00101,Very clean and comfortable.,4,10-12-2023,positive,TRUE,active
H009,Hotel 9,R00102,Very clean and comfortable.,5,04-06-2023,positive,FALSE,inactive
H010,Hotel 10,R00103,Highly recommend this place.,5,24-10-2022,positive,FALSE,active
H010,Hotel 10,R00104,Average experience.,3,29-08-2022,neutral,TRUE,inactive
H009,Hotel 9,R00105,Room was dirty.,2,16-06-2022,negative,TRUE,inactive
H005,Hotel 5,R00106,Excellent service!,4,09-05-2022,positive,TRUE,active
H032,Hotel 32,R00107,Average experience.,3,28-09-2023,neutral,FALSE,active
H045,Hotel 45,R00108,Highly recommend this place.,4,04-04-2022,positive,TRUE,active
H048,Hotel 48,R00109,Highly recommend this place.,4,24-12-2022,positive,TRUE,active
H043,Hotel 43,R00110,Could be better.,3,25-07-2022,neutral,FALSE,inactive
H033,Hotel 33,R00111,Terrible service!,1,24-01-2023,negative,TRUE,active
H049,Hotel 49,R00112,Average experience.,3,05-11-2022,neutral,FALSE,active
H008,Hotel 8,R00113,Excellent service!,4,02-12-2023,positive,FALSE,inactive
H001,Hotel 1,R00114,Terrible service!,1,30-10-2022,negative,FALSE,active
H013,Hotel 13,R00115,Could be better.,3,06-06-2022,neutral,TRUE,active
H012,Hotel 12,R00116,Room was dirty.,1,03-07-2023,negative,FALSE,active
H011,Hotel 11,R00117,It was okay.,3,03-12-2023,neutral,TRUE,inactive
H017,Hotel 17,R00118,Excellent service!,5,24-06-2023,positive,FALSE,inactive
H033,Hotel 33,R00119,Room was dirty.,2,03-05-2023,negative,TRUE,active
H009,Hotel 9,R00120,Excellent service!,4,11-09-2022,positive,TRUE,active
H018,Hotel 18,R00121,Average experience.,3,09-06-2023,neutral,TRUE,active
H039,Hotel 39,R00122,Terrible service!,1,09-08-2022,negative,TRUE,active
H027,Hotel 27,R00123,Very clean and comfortable.,5,21-01-2023,positive,FALSE,active
H036,Hotel 36,R00124,Terrible service!,2,20-07-2023,negative,FALSE,active
H011,Hotel 11,R00125,Average experience.,3,10-10-2023,neutral,FALSE,inactive
H008,Hotel 8,R00126,Very clean and comfortable.,5,03-12-2022,positive,FALSE,inactive
H016,Hotel 16,R00127,Terrible service!,1,12-09-2022,negative,TRUE,active
H037,Hotel 37,R00128,Average experience.,3,22-06-2022,neutral,TRUE,active
H001,Hotel 1,R00129,Very clean and comfortable.,5,09-05-2022,positive,TRUE,active
H015,Hotel 15,R00130,Could be better.,3,03-11-2022,neutral,FALSE,inactive
H019,Hotel 19,R00131,Room was dirty.,2,04-01-2022,negative,FALSE,active
H023,Hotel 23,R00132,Terrible service!,1,21-09-2022,negative,FALSE,inactive
H021,Hotel 21,R00133,Not worth the price.,1,11-08-2023,negative,FALSE,active
H041,Hotel 41,R00134,Could be better.,3,13-03-2023,neutral,FALSE,inactive
H029,Hotel 29,R00135,Terrible service!,1,29-10-2023,negative,TRUE,inactive
H029,Hotel 29,R00136,Terrible service!,2,07-04-2022,negative,FALSE,inactive
H018,Hotel 18,R00137,Highly recommend this place.,5,05-06-2022,positive,TRUE,active
H041,Hotel 41,R00138,Not worth the price.,2,20-05-2023,negative,TRUE,inactive
H011,Hotel 11,R00139,Terrible service!,1,23-05-2023,negative,FALSE,inactive
H045,Hotel 45,R00140,Not worth the price.,2,26-02-2022,negative,TRUE,active
H019,Hotel 19,R00141,Highly recommend this place.,4,27-09-2022,positive,TRUE,inactive
H038,Hotel 38,R00142,Could be better.,3,02-06-2022,neutral,TRUE,active
H032,Hotel 32,R00143,Average experience.,3,05-04-2022,neutral,FALSE,inactive
H049,Hotel 49,R00144,Excellent service!,5,15-09-2023,positive,TRUE,inactive
H043,Hotel 43,R00145,It was okay.,3,31-12-2022,neutral,FALSE,active
H024,Hotel 24,R00146,Highly recommend this place.,4,04-05-2023,positive,FALSE,active
H018,Hotel 18,R00147,Very clean and comfortable.,4,29-01-2023,positive,FALSE,inactive
H001,Hotel 1,R00148,Not worth the price.,2,21-05-2023,negative,TRUE,active
H038,Hotel 38,R00149,It was okay.,3,29-03-2023,neutral,TRUE,active
H036,Hotel 36,R00150,Terrible service!,2,20-08-2023,negative,FALSE,active
H030,Hotel 30,R00151,Highly recommend this place.,5,12-09-2022,positive,FALSE,active
H041,Hotel 41,R00152,Very clean and comfortable.,4,24-06-2023,positive,FALSE,active
H039,Hotel 39,R00153,Terrible service!,2,13-12-2022,negative,TRUE,active
H025,Hotel 25,R00154,Not worth the price.,1,30-03-2023,negative,TRUE,active
H014,Hotel 14,R00155,Terrible service!,1,11-10-2022,negative,TRUE,active
H001,Hotel 1,R00156,Room was dirty.,2,01-06-2023,negative,FALSE,inactive
H007,Hotel 7,R00157,Highly recommend this place.,4,24-03-2023,positive,TRUE,inactive
H025,Hotel 25,R00158,It was okay.,3,29-09-2022,neutral,FALSE,active
H050,Hotel 50,R00159,Average experience.,3,18-01-2022,neutral,TRUE,inactive
H029,Hotel 29,R00160,Excellent service!,5,30-05-2023,positive,TRUE,active
H013,Hotel 13,R00161,Very clean and comfortable.,4,02-01-2022,positive,FALSE,inactive
H009,Hotel 9,R00162,Excellent service!,4,31-07-2023,positive,FALSE,inactive
H002,Hotel 2,R00163,Excellent service!,4,29-07-2023,positive,TRUE,inactive
H025,Hotel 25,R00164,Excellent service!,5,12-04-2022,positive,FALSE,inactive
H027,Hotel 27,R00165,Not worth the price.,2,30-07-2022,negative,TRUE,active
H048,Hotel 48,R00166,Terrible service!,2,03-01-2023,negative,FALSE,active
H029,Hotel 29,R00167,Not worth the price.,1,13-09-2022,negative,TRUE,inactive
H040,Hotel 40,R00168,Average experience.,3,08-10-2022,neutral,TRUE,inactive
H026,Hotel 26,R00169,Could be better.,3,07-01-2022,neutral,FALSE,active
H039,Hotel 39,R00170,Could be better.,3,08-09-2022,neutral,TRUE,active
H011,Hotel 11,R00171,Room was dirty.,1,27-09-2022,negative,FALSE,active
H014,Hotel 14,R00172,Very clean and comfortable.,4,04-03-2023,positive,FALSE,active
H020,Hotel 20,R00173,Not worth the price.,2,15-10-2023,negative,FALSE,inactive
H028,Hotel 28,R00174,Highly recommend this place.,5,02-12-2022,positive,FALSE,inactive
H028,Hotel 28,R00175,Average experience.,3,26-09-2023,neutral,TRUE,inactive
H020,Hotel 20,R00176,Room was dirty.,2,25-12-2022,negative,TRUE,inactive
H025,Hotel 25,R00177,Highly recommend this place.,5,26-12-2023,positive,FALSE,inactive
H010,Hotel 10,R00178,Not worth the price.,2,22-10-2023,negative,TRUE,inactive
H016,Hotel 16,R00179,Very clean and comfortable.,5,17-06-2023,positive,FALSE,active
H044,Hotel 44,R00180,Not worth the price.,2,26-04-2023,negative,TRUE,inactive
H033,Hotel 33,R00181,Very clean and comfortable.,4,25-06-2022,positive,TRUE,inactive
H034,Hotel 34,R00182,Not worth the price.,2,06-04-2022,negative,FALSE,inactive
H036,Hotel 36,R00183,Terrible service!,2,06-07-2022,negative,FALSE,inactive
H040,Hotel 40,R00184,Highly recommend this place.,5,17-11-2023,positive,TRUE,active
H030,Hotel 30,R00185,Not worth the price.,1,20-05-2022,negative,FALSE,active
H011,Hotel 11,R00186,Very clean and comfortable.,5,28-06-2022,positive,FALSE,active
H010,Hotel 10,R00187,Excellent service!,4,02-06-2023,positive,TRUE,inactive
H006,Hotel 6,R00188,It was okay.,3,17-12-2023,neutral,FALSE,active
H030,Hotel 30,R00189,It was okay.,3,14-12-2022,neutral,TRUE,inactive
H004,Hotel 4,R00190,Could be better.,3,29-04-2022,neutral,TRUE,inactive
H047,Hotel 47,R00191,Terrible service!,2,29-11-2022,negative,TRUE,inactive
H044,Hotel 44,R00192,Excellent service!,5,25-07-2022,positive,TRUE,active
H002,Hotel 2,R00193,Average experience.,3,12-09-2022,neutral,FALSE,active
H008,Hotel 8,R00194,Highly recommend this place.,4,19-10-2022,positive,FALSE,inactive
H033,Hotel 33,R00195,Room was dirty.,2,31-01-2022,negative,FALSE,active
H031,Hotel 31,R00196,Excellent service!,5,20-07-2022,positive,FALSE,active
H021,Hotel 21,R00197,Highly recommend this place.,5,28-02-2023,positive,FALSE,inactive
H018,Hotel 18,R00198,Room was dirty.,2,11-10-2022,negative,FALSE,active
H021,Hotel 21,R00199,Very clean and comfortable.,5,19-03-2023,positive,FALSE,active
H031,Hotel 31,R00200,Not worth the price.,2,18-09-2023,negative,TRUE,active
H037,Hotel 37,R00201,Excellent service!,4,30-10-2023,positive,TRUE,active
H006,Hotel 6,R00202,Not worth the price.,2,02-11-2023,negative,TRUE,inactive
H001,Hotel 1,R00203,Could be better.,3,02-04-2022,neutral,TRUE,active
H025,Hotel 25,R00204,Excellent service!,5,07-12-2022,positive,TRUE,inactive
H042,Hotel 42,R00205,Average experience.,3,16-04-2022,neutral,TRUE,inactive
H009,Hotel 9,R00206,Not worth the price.,2,15-07-2023,negative,FALSE,inactive
H029,Hotel 29,R00207,Not worth the price.,2,29-05-2022,negative,FALSE,active
H035,Hotel 35,R00208,It was okay.,3,25-06-2022,neutral,TRUE,inactive
H034,Hotel 34,R00209,Terrible service!,1,17-05-2022,negative,TRUE,active
H039,Hotel 39,R00210,Not worth the price.,2,24-08-2022,negative,TRUE,inactive
H045,Hotel 45,R00211,Not worth the price.,1,12-03-2022,negative,TRUE,active
H042,Hotel 42,R00212,Very clean and comfortable.,5,09-10-2023,positive,FALSE,inactive
H025,Hotel 25,R00213,Not worth the price.,2,04-12-2022,negative,TRUE,active
H026,Hotel 26,R00214,Terrible service!,1,19-10-2023,negative,FALSE,inactive
H037,Hotel 37,R00215,Average experience.,3,01-07-2023,neutral,FALSE,active
H025,Hotel 25,R00216,Terrible service!,2,20-06-2022,negative,TRUE,active
H041,Hotel 41,R00217,Excellent service!,5,12-05-2022,positive,FALSE,inactive
H045,Hotel 45,R00218,Room was dirty.,2,11-11-2023,negative,FALSE,active
H027,Hotel 27,R00219,Very clean and comfortable.,5,29-06-2023,positive,TRUE,inactive
H045,Hotel 45,R00220,Excellent service!,5,06-10-2022,positive,FALSE,inactive
H012,Hotel 12,R00221,Average experience.,3,19-07-2023,neutral,FALSE,inactive
H002,Hotel 2,R00222,Room was dirty.,1,22-02-2023,negative,FALSE,inactive
H046,Hotel 46,R00223,Not worth the price.,1,08-04-2022,negative,TRUE,active
H047,Hotel 47,R00224,Could be better.,3,22-07-2023,neutral,TRUE,inactive
H007,Hotel 7,R00225,Highly recommend this place.,5,26-03-2023,positive,TRUE,inactive
H008,Hotel 8,R00226,Excellent service!,5,11-03-2023,positive,TRUE,inactive
H033,Hotel 33,R00227,Excellent service!,4,13-05-2023,positive,TRUE,active
H024,Hotel 24,R00228,Not worth the price.,1,07-01-2022,negative,FALSE,active
H050,Hotel 50,R00229,Terrible service!,1,05-12-2023,negative,TRUE,active
H014,Hotel 14,R00230,Room was dirty.,1,31-08-2023,negative,TRUE,inactive
H037,Hotel 37,R00231,Very clean and comfortable.,5,03-11-2023,positive,TRUE,active
H016,Hotel 16,R00232,Room was dirty.,1,19-03-2023,negative,TRUE,inactive
H022,Hotel 22,R00233,Terrible service!,2,07-10-2023,negative,FALSE,inactive
H025,Hotel 25,R00234,Terrible service!,1,01-02-2023,negative,FALSE,inactive
H023,Hotel 23,R00235,Not worth the price.,1,28-07-2023,negative,TRUE,active
H022,Hotel 22,R00236,Could be better.,3,23-05-2022,neutral,TRUE,inactive
H016,Hotel 16,R00237,It was okay.,3,15-08-2023,neutral,FALSE,active
H026,Hotel 26,R00238,Terrible service!,1,06-06-2022,negative,TRUE,active
H041,Hotel 41,R00239,Terrible service!,2,29-10-2022,negative,FALSE,active
H021,Hotel 21,R00240,Not worth the price.,2,07-08-2023,negative,TRUE,active
H032,Hotel 32,R00241,It was okay.,3,14-11-2022,neutral,TRUE,inactive
H030,Hotel 30,R00242,Very clean and comfortable.,4,24-12-2022,positive,FALSE,active
H048,Hotel 48,R00243,Very clean and comfortable.,4,01-09-2023,positive,TRUE,inactive
H050,Hotel 50,R00244,Not worth the price.,1,20-10-2023,negative,TRUE,inactive
H015,Hotel 15,R00245,Average experience.,3,08-01-2023,neutral,FALSE,inactive
H044,Hotel 44,R00246,Average experience.,3,21-10-2022,neutral,FALSE,inactive
H020,Hotel 20,R00247,Excellent service!,5,30-04-2022,positive,FALSE,inactive
H048,Hotel 48,R00248,Highly recommend this place.,5,27-10-2022,positive,FALSE,inactive
H011,Hotel 11,R00249,Not worth the price.,2,24-09-2023,negative,TRUE,active
H015,Hotel 15,R00250,Highly recommend this place.,5,01-07-2022,positive,TRUE,inactive
H003,Hotel 3,R00251,Excellent service!,5,21-10-2022,positive,FALSE,active
H025,Hotel 25,R00252,Excellent service!,5,04-11-2022,positive,FALSE,inactive
H010,Hotel 10,R00253,Excellent service!,5,05-04-2023,positive,TRUE,active
H004,Hotel 4,R00254,Average experience.,3,17-07-2022,neutral,FALSE,active
H028,Hotel 28,R00255,Could be better.,3,16-09-2022,neutral,FALSE,active
H020,Hotel 20,R00256,Terrible service!,1,11-11-2023,negative,TRUE,inactive
H039,Hotel 39,R00257,Excellent service!,4,25-10-2023,positive,FALSE,inactive
H008,Hotel 8,R00258,Highly recommend this place.,5,07-11-2023,positive,TRUE,inactive
H013,Hotel 13,R00259,It was okay.,3,15-08-2023,neutral,TRUE,active
H020,Hotel 20,R00260,Highly recommend this place.,5,05-06-2023,positive,TRUE,inactive
H034,Hotel 34,R00261,Not worth the price.,2,23-10-2022,negative,FALSE,inactive
H025,Hotel 25,R00262,Highly recommend this place.,5,19-02-2023,positive,TRUE,inactive
H013,Hotel 13,R00263,Very clean and comfortable.,4,09-12-2022,positive,TRUE,inactive
H035,Hotel 35,R00264,Room was dirty.,2,14-10-2023,negative,FALSE,inactive
H016,Hotel 16,R00265,Excellent service!,4,30-06-2022,positive,FALSE,active
H041,Hotel 41,R00266,Highly recommend this place.,4,09-08-2023,positive,TRUE,active
H004,Hotel 4,R00267,Highly recommend this place.,4,11-06-2023,positive,FALSE,active
H050,Hotel 50,R00268,Highly recommend this place.,4,03-05-2023,positive,TRUE,inactive
H010,Hotel 10,R00269,It was okay.,3,02-01-2023,neutral,FALSE,active
H002,Hotel 2,R00270,Not worth the price.,2,11-09-2023,negative,FALSE,active
H029,Hotel 29,R00271,Not worth the price.,1,26-04-2022,negative,TRUE,inactive
H004,Hotel 4,R00272,Terrible service!,1,08-05-2023,negative,TRUE,active
H029,Hotel 29,R00273,Average experience.,3,29-01-2023,neutral,TRUE,inactive
H046,Hotel 46,R00274,Very clean and comfortable.,5,27-01-2022,positive,TRUE,inactive
H008,Hotel 8,R00275,Excellent service!,4,05-07-2023,positive,TRUE,inactive
H026,Hotel 26,R00276,Average experience.,3,09-06-2023,neutral,TRUE,active
H024,Hotel 24,R00277,Room was dirty.,1,09-03-2022,negative,FALSE,inactive
H015,Hotel 15,R00278,Excellent service!,5,29-07-2023,positive,FALSE,inactive
H006,Hotel 6,R00279,Not worth the price.,2,31-01-2023,negative,TRUE,active
H022,Hotel 22,R00280,Room was dirty.,1,17-09-2022,negative,TRUE,inactive
H022,Hotel 22,R00281,It was okay.,3,02-07-2023,neutral,TRUE,active
H029,Hotel 29,R00282,Excellent service!,5,20-06-2022,positive,FALSE,active
H033,Hotel 33,R00283,Highly recommend this place.,4,11-12-2023,positive,TRUE,inactive
H043,Hotel 43,R00284,Very clean and comfortable.,5,30-05-2023,positive,TRUE,active
H017,Hotel 17,R00285,It was okay.,3,15-10-2023,neutral,FALSE,inactive
H016,Hotel 16,R00286,Terrible service!,2,17-03-2022,negative,TRUE,active
H026,Hotel 26,R00287,Very clean and comfortable.,4,09-07-2023,positive,FALSE,inactive
H012,Hotel 12,R00288,Terrible service!,1,23-04-2023,negative,TRUE,inactive
H042,Hotel 42,R00289,Not worth the price.,2,23-09-2023,negative,FALSE,inactive
H050,Hotel 50,R00290,It was okay.,3,15-04-2023,neutral,FALSE,active
H027,Hotel 27,R00291,Could be better.,3,04-03-2023,neutral,TRUE,inactive
H047,Hotel 47,R00292,Excellent service!,4,29-01-2022,positive,FALSE,active
H039,Hotel 39,R00293,Excellent service!,5,02-12-2022,positive,TRUE,active
H023,Hotel 23,R00294,Very clean and comfortable.,4,20-09-2023,positive,FALSE,active
H030,Hotel 30,R00295,Very clean and comfortable.,5,07-11-2023,positive,FALSE,active
H028,Hotel 28,R00296,Very clean and comfortable.,5,24-11-2022,positive,FALSE,active
H050,Hotel 50,R00297,Not worth the price.,2,16-04-2023,negative,FALSE,inactive
H021,Hotel 21,R00298,Excellent service!,5,17-05-2023,positive,TRUE,active
H018,Hotel 18,R00299,Room was dirty.,1,03-01-2023,negative,TRUE,active
H015,Hotel 15,R00300,Room was dirty.,1,24-03-2023,negative,FALSE,inactive
H045,Hotel 45,R00301,Room was dirty.,1,23-01-2022,negative,TRUE,inactive
H023,Hotel 23,R00302,Room was dirty.,1,20-10-2022,negative,FALSE,active
H038,Hotel 38,R00303,Room was dirty.,1,19-06-2022,negative,TRUE,active
H022,Hotel 22,R00304,Highly recommend this place.,4,24-03-2023,positive,TRUE,inactive
H049,Hotel 49,R00305,Terrible service!,1,12-05-2022,negative,FALSE,active
H020,Hotel 20,R00306,Excellent service!,5,16-11-2023,positive,FALSE,active
H042,Hotel 42,R00307,Not worth the price.,1,09-09-2022,negative,TRUE,active
H041,Hotel 41,R00308,Could be better.,3,05-02-2022,neutral,TRUE,inactive
H033,Hotel 33,R00309,Highly recommend this place.,5,10-08-2022,positive,FALSE,active
H033,Hotel 33,R00310,Very clean and comfortable.,5,22-07-2023,positive,TRUE,active
H003,Hotel 3,R00311,Room was dirty.,1,08-09-2022,negative,FALSE,active
H007,Hotel 7,R00312,Room was dirty.,2,10-12-2023,negative,TRUE,active
H046,Hotel 46,R00313,Excellent service!,5,22-03-2022,positive,TRUE,active
H017,Hotel 17,R00314,Average experience.,3,18-07-2023,neutral,TRUE,active
H028,Hotel 28,R00315,Could be better.,3,31-12-2022,neutral,TRUE,active
H014,Hotel 14,R00316,Not worth the price.,1,12-09-2023,negative,FALSE,active
H048,Hotel 48,R00317,Highly recommend this place.,5,31-08-2023,positive,FALSE,inactive
H039,Hotel 39,R00318,Could be better.,3,29-06-2023,neutral,TRUE,active
H020,Hotel 20,R00319,Highly recommend this place.,5,29-03-2023,positive,FALSE,inactive
H022,Hotel 22,R00320,Room was dirty.,2,14-02-2022,negative,FALSE,inactive
H005,Hotel 5,R00321,Not worth the price.,2,05-08-2022,negative,TRUE,inactive
H032,Hotel 32,R00322,Very clean and comfortable.,4,09-04-2023,positive,FALSE,active
H038,Hotel 38,R00323,Very clean and comfortable.,4,08-04-2022,positive,TRUE,active
H045,Hotel 45,R00324,Excellent service!,4,04-06-2023,positive,FALSE,active
H001,Hotel 1,R00325,Highly recommend this place.,4,06-10-2023,positive,TRUE,active
H036,Hotel 36,R00326,Very clean and comfortable.,4,16-04-2023,positive,TRUE,active
H030,Hotel 30,R00327,Very clean and comfortable.,4,23-11-2022,positive,FALSE,inactive
H049,Hotel 49,R00328,Highly recommend this place.,5,08-01-2022,positive,FALSE,inactive
H046,Hotel 46,R00329,Not worth the price.,1,22-05-2023,negative,FALSE,active
H011,Hotel 11,R00330,Room was dirty.,2,14-01-2023,negative,FALSE,active
